run_id,initial_case_id,initial_label,psi0,psi0_lower,psi0_upper,schedule_id,binary_sequence,on_count,on_fraction,theta_1in_t0,theta_5in_t0,theta_9in_t0,theta_1in_t1,theta_5in_t1,theta_9in_t1,theta_1in_t2,theta_5in_t2,theta_9in_t2,theta_1in_t3,theta_5in_t3,theta_9in_t3,theta_1in_t4,theta_5in_t4,theta_9in_t4,theta_1in_t5,theta_5in_t5,theta_9in_t5,theta_1in_t6,theta_5in_t6,theta_9in_t6,theta_1in_t7,theta_5in_t7,theta_9in_t7,theta_1in_t8,theta_5in_t8,theta_9in_t8,theta_1in_t9,theta_5in_t9,theta_9in_t9,theta_1in_t10,theta_5in_t10,theta_9in_t10
run_0001,dry_001,dry,-2.19,-2.19,-1.38,sched_0001,0000000000,0,0,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,15.3550280708598,15.3559232643048,15.3559232716744,15.3549261617379,15.3559232587981,15.3559232716744,15.3548261871921,15.3559232505259,15.3559232716743
run_0002,dry_001,dry,-2.19,-2.19,-1.38,sched_0002,0000000001,1,0.1,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,15.3550280708598,15.3559232643048,15.3559232716744,15.3549261617379,15.3559232587981,15.3559232716744,24.6079445952864,24.542129535995,24.4778939440105
run_0003,dry_001,dry,-2.19,-2.19,-1.38,sched_0003,0000000010,1,0.1,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,15.3550280708598,15.3559232643048,15.3559232716744,24.6079451017997,24.5421301951323,24.4778947920351,18.4077821522145,19.4675787527523,20.1752609612671
run_0004,dry_001,dry,-2.19,-2.19,-1.38,sched_0004,0000000011,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,15.3550280708598,15.3559232643048,15.3559232716744,24.6079451017997,24.5421301951323,24.4778947920351,24.9959780286784,24.9959653452659,24.9959563697969
run_0005,dry_001,dry,-2.19,-2.19,-1.38,sched_0005,0000000100,1,0.1,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,24.6079462833098,24.5421317610724,24.477896721845,18.4077824135187,19.4675790712828,20.1752613043092,17.4173179196456,18.2112725173118,18.7773727481786
run_0006,dry_001,dry,-2.19,-2.19,-1.38,sched_0006,0000000101,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,24.6079462833098,24.5421317610724,24.477896721845,18.4077824135187,19.4675790712828,20.1752613043092,24.8929791294233,24.8877025660858,24.8836358699013
run_0007,dry_001,dry,-2.19,-2.19,-1.38,sched_0007,0000000110,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,24.6079462833098,24.5421317610724,24.477896721845,24.9959780519058,24.9959653702372,24.9959563947771,18.4830180368113,19.5589608873294,20.2733836284731
run_0008,dry_001,dry,-2.19,-2.19,-1.38,sched_0008,0000000111,3,0.3,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,15.3551319924034,15.3559232677746,15.3559232716744,24.6079462833098,24.5421317610724,24.477896721845,24.9959780519058,24.9959653702372,24.9959563947771,24.9999967094489,24.9999967094173,24.9999967093951
run_0009,dry_001,dry,-2.19,-2.19,-1.38,sched_0009,0000001000,1,0.1,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,18.4077825615463,19.4675792517964,20.1752614987765,17.4173179742415,18.2112725891361,18.777372830536,16.9754554034402,17.6220025847805,18.093962158489
run_0010,dry_001,dry,-2.19,-2.19,-1.38,sched_0010,0000001001,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,18.4077825615463,19.4675792517964,20.1752614987765,17.4173179742415,18.2112725891361,18.777372830536,24.8430749226787,24.8321898219294,24.8234773453324
run_0011,dry_001,dry,-2.19,-2.19,-1.38,sched_0011,0000001010,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,18.4077825615463,19.4675792517964,20.1752614987765,24.8929791354379,24.8877025726647,24.8836358769268,18.465784659022,19.538088163147,20.2510269156043
run_0012,dry_001,dry,-2.19,-2.19,-1.38,sched_0012,0000001011,3,0.3,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,18.4077825615463,19.4675792517964,20.1752614987765,24.8929791354379,24.8877025726647,24.8836358769268,24.9995532047741,24.9995529712487,24.9995528067573
run_0013,dry_001,dry,-2.19,-2.19,-1.38,sched_0013,0000001100,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,24.9959780684412,24.9959653869454,24.9959564115149,18.4830180394485,19.5589608906165,20.2733836340002,17.4446805333375,18.247231036197,18.818563193841
run_0014,dry_001,dry,-2.19,-2.19,-1.38,sched_0014,0000001101,3,0.3,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,24.9959780684412,24.9959653869454,24.9959564115149,18.4830180394485,19.5589608906165,20.2733836340002,24.8959901378697,24.8909890388145,24.8871434445687
run_0015,dry_001,dry,-2.19,-2.19,-1.38,sched_0015,0000001110,3,0.3,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,24.9959780684412,24.9959653869454,24.9959564115149,24.9999967095036,24.999996709472,24.9999967094498,18.4836526674871,19.5597286997763,20.2742064957824
run_0016,dry_001,dry,-2.19,-2.19,-1.38,sched_0016,0000001111,4,0.4,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744,24.6079466174386,24.5421323247435,24.4778977904672,24.9959780684412,24.9959653869454,24.9959564115149,24.9999967095036,24.999996709472,24.9999967094498,24.9999997767006,24.9999997767004,24.9999997767002
run_0017,dry_001,dry,-2.19,-2.19,-1.38,sched_0017,0000010000,1,0.1,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,24.6079475707442,24.542133535744,24.4778991820254,18.4077827542557,19.4675794866943,20.1752617517821,17.4173180453061,18.2112726826219,18.7773729377248,16.975455441557,17.6220026362804,18.0939622188779,16.7168616655015,17.2702576528314,17.6791496323191
run_0018,dry_001,dry,-2.19,-2.19,-1.38,sched_0018,0000010001,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,24.6079475707442,24.542133535744,24.4778991820254,18.4077827542557,19.4675794866943,20.1752617517821,17.4173180453061,18.2112726826219,18.7773729377248,16.975455441557,17.6220026362804,18.0939622188779,24.8122046800339,24.7968544873558,24.7842744701308
run_0019,dry_001,dry,-2.19,-2.19,-1.38,sched_0019,0000010010,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,24.6079475707442,24.542133535744,24.4778991820254,18.4077827542557,19.4675794866943,20.1752617517821,17.4173180453061,18.2112726826219,18.7773729377248,24.8430749271208,24.8321898269587,24.8234773508612,18.4568286915198,19.5272274384258,20.2393825509043
run_0020,dry_001,dry,-2.19,-2.19,-1.38,sched_0020,0000010011,3,0.3,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,24.6079475707442,24.542133535744,24.4778991820254,18.4077827542557,19.4675794866943,20.1752617517821,17.4173180453061,18.2112726826219,18.7773729377248,24.8430749271208,24.8321898269587,24.8234773508612,24.9991561785484,24.9991554373603,24.9991549149477
run_0021,dry_001,dry,-2.19,-2.19,-1.38,sched_0021,0000010100,2,0.2,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,24.6079475707442,24.542133535744,24.4778991820254,18.4077827542557,19.4675794866943,20.1752617517821,24.8929791432652,24.8877025812262,24.8836358860695,18.4657846603955,19.538088164812,20.2510269173878,17.438481426031,18.2390906724376,18.8092446626216
run_0022,dry_001,dry,-2.19,-2.19,-1.38,sched_0022,0000010101,3,0.3,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,24.6079475707442,24.542133535744,24.4778991820254,18.4077827542557,19.4675794866943,20.1752617517821,24.8929791432652,24.8877025812262,24.8836358860695,18.4657846603955,19.538088164812,20.2510269173878,24.8953084998751,24.8902456603631,24.8863505775218
