run_id,initial_case_id,initial_label,psi0,psi0_lower,psi0_upper,schedule_id,binary_sequence,on_count,on_fraction,theta_1in_t0,theta_5in_t0,theta_9in_t0,theta_1in_t1,theta_5in_t1,theta_9in_t1,theta_1in_t2,theta_5in_t2,theta_9in_t2,theta_1in_t3,theta_5in_t3,theta_9in_t3,theta_1in_t4,theta_5in_t4,theta_9in_t4
run_0001,dry_001,dry,-2.19,-2.19,-1.38,sched_0001,0000,0,0,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744
run_0002,dry_001,dry,-2.19,-2.19,-1.38,sched_0002,0001,1,0.25,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,24.6079496436209,24.5421363802335,24.4779030204302
run_0003,dry_001,dry,-2.19,-2.19,-1.38,sched_0003,0010,1,0.25,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,24.6079520084914,24.5421395233339,24.4779069969906,18.4077838266376,19.4675807940176,20.1752631598822
run_0004,dry_001,dry,-2.19,-2.19,-1.38,sched_0004,0011,2,0.5,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,24.6079520084914,24.5421395233339,24.4779069969906,24.9959781592573,24.9959654783865,24.995956503193
run_0005,dry_001,dry,-2.19,-2.19,-1.38,sched_0005,0100,1,0.25,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,24.6079526481626,24.5421403985556,24.4779081655405,18.4077839841173,19.4675809859984,20.175263366584,17.4173184988706,18.2112732792951,18.7773736218695
run_0006,dry_001,dry,-2.19,-2.19,-1.38,sched_0006,0101,2,0.5,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,24.6079526481626,24.5421403985556,24.4779081655405,18.4077839841173,19.4675809859984,20.175263366584,24.8929792190592,24.8877026617961,24.8836359727641
run_0007,dry_001,dry,-2.19,-2.19,-1.38,sched_0007,0110,2,0.5,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,24.6079526481626,24.5421403985556,24.4779081655405,24.9959781771309,24.9959654961585,24.995956521159,18.483018056665,19.5589609116872,20.2733836482115
run_0008,dry_001,dry,-2.19,-2.19,-1.38,sched_0008,0111,3,0.75,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,24.6079526481626,24.5421403985556,24.4779081655405,24.9959781771309,24.9959654961585,24.995956521159,24.9999967095214,24.9999967094898,24.9999967094676
run_0009,dry_001,dry,-2.19,-2.19,-1.38,sched_0009,1000,1,0.25,15.3559232716744,15.3559232716744,15.3559232716744,24.607951942374,24.5421394374288,24.4779067606002,18.4077837796702,19.4675807367275,20.1752630980324,17.4173184234562,18.2112731800844,18.777373508112,16.9754556443861,17.6220029103249,18.0939625402255
run_0010,dry_001,dry,-2.19,-2.19,-1.38,sched_0010,1001,2,0.5,15.3559232716744,15.3559232716744,15.3559232716744,24.607951942374,24.5421394374288,24.4779067606002,18.4077837796702,19.4675807367275,20.1752630980324,17.4173184234562,18.2112731800844,18.777373508112,24.8430749507584,24.8321898537214,24.8234773802817
run_0011,dry_001,dry,-2.19,-2.19,-1.38,sched_0011,1010,2,0.5,15.3559232716744,15.3559232716744,15.3559232716744,24.607951942374,24.5421394374288,24.4779067606002,18.4077837796702,19.4675807367275,20.1752630980324,24.8929792107483,24.8877026527143,24.8836359630661,18.465784671891,19.5380881787449,20.2510269323286
run_0012,dry_001,dry,-2.19,-2.19,-1.38,sched_0012,1011,3,0.75,15.3559232716744,15.3559232716744,15.3559232716744,24.607951942374,24.5421394374288,24.4779067606002,18.4077837796702,19.4675807367275,20.1752630980324,24.8929792107483,24.8877026527143,24.8836359630661,24.9995532086755,24.9995529751563,24.9995528106717
run_0013,dry_001,dry,-2.19,-2.19,-1.38,sched_0013,1100,2,0.5,15.3559232716744,15.3559232716744,15.3559232716744,24.607951942374,24.5421394374288,24.4779067606002,24.995978154296,24.9959654733571,24.995956498286,18.4830180530716,19.5589609072577,20.2733836399521,17.4446805389427,18.2472310435632,18.8185632022756
run_0014,dry_001,dry,-2.19,-2.19,-1.38,sched_0014,1101,3,0.75,15.3559232716744,15.3559232716744,15.3559232716744,24.607951942374,24.5421394374288,24.4779067606002,24.995978154296,24.9959654733571,24.995956498286,18.4830180530716,19.5589609072577,20.2733836399521,24.8959901384062,24.8909890393995,24.8871434451925
run_0015,dry_001,dry,-2.19,-2.19,-1.38,sched_0015,1110,3,0.75,15.3559232716744,15.3559232716744,15.3559232716744,24.607951942374,24.5421394374288,24.4779067606002,24.995978154296,24.9959654733571,24.995956498286,24.9999967095452,24.9999967095162,24.9999967094941,18.483655237967,19.5597318294712,20.2742096934118
