run_id,initial_case_id,initial_label,psi0,psi0_lower,psi0_upper,schedule_id,binary_sequence,on_count,on_fraction,theta_1in_t0,theta_5in_t0,theta_9in_t0,theta_1in_t1,theta_5in_t1,theta_9in_t1,theta_1in_t2,theta_5in_t2,theta_9in_t2,theta_1in_t3,theta_5in_t3,theta_9in_t3,theta_1in_t4,theta_5in_t4,theta_9in_t4,theta_1in_t5,theta_5in_t5,theta_9in_t5,theta_1in_t6,theta_5in_t6,theta_9in_t6
run_0001,dry_001,dry,-2.19,-2.19,-1.38,sched_0001,000000,0,0,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,15.3552380083719,15.3559232698121,15.3559232716744
run_0002,dry_001,dry,-2.19,-2.19,-1.38,sched_0002,000001,1,0.166666666666667,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,15.3553462051828,15.3559232709014,15.3559232716744,24.6079475707442,24.542133535744,24.4778991820254
run_0003,dry_001,dry,-2.19,-2.19,-1.38,sched_0003,000010,1,0.166666666666667,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,24.607949839973,24.5421366253454,24.47790328448,18.4077833166798,19.4675801723479,20.1752624903071
run_0004,dry_001,dry,-2.19,-2.19,-1.38,sched_0004,000011,2,0.333333333333333,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,15.3554566739422,15.3559232714125,15.3559232716744,24.607949839973,24.5421366253454,24.47790328448,24.9959781267133,24.9959654459385,24.9959564709506
run_0005,dry_001,dry,-2.19,-2.19,-1.38,sched_0005,000100,1,0.166666666666667,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,24.6079496436209,24.5421363802335,24.4779030204302,18.4077832780237,19.4675801252269,20.1752624394737,17.4173182384689,18.2112729367321,18.7773732290884
run_0006,dry_001,dry,-2.19,-2.19,-1.38,sched_0006,000101,2,0.333333333333333,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,24.6079496436209,24.5421363802335,24.4779030204302,18.4077832780237,19.4675801252269,20.1752624394737,24.8929791903603,24.8877026304353,24.8836359392753
run_0007,dry_001,dry,-2.19,-2.19,-1.38,sched_0007,000110,2,0.333333333333333,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,24.6079496436209,24.5421363802335,24.4779030204302,24.9959781198965,24.9959654413681,24.9959564656948,18.4830180479416,19.5589609010176,20.2733836395421
run_0008,dry_001,dry,-2.19,-2.19,-1.38,sched_0008,000111,3,0.5,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,15.3555695107381,15.35592327161,15.3559232716744,24.6079496436209,24.5421363802335,24.4779030204302,24.9959781198965,24.9959654413681,24.9959564656948,24.9999967095648,24.9999967095334,24.9999967095117
run_0009,dry_001,dry,-2.19,-2.19,-1.38,sched_0009,001000,1,0.166666666666667,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,24.6079520084914,24.5421395233339,24.4779069969906,18.4077838266376,19.4675807940176,20.1752631598822,17.4173184407967,18.2112732028978,18.7773735342723,16.9754556536876,17.6220029228926,18.093962554963
run_0010,dry_001,dry,-2.19,-2.19,-1.38,sched_0010,001001,2,0.333333333333333,15.3559232716744,15.3559232716744,15.3559232716744,15.3558026995988,15.3559232716741,15.3559232716744,15.355684816953,15.3559232716655,15.3559232716744,24.6079520084914,24.5421395233339,24.4779069969906,18.4077838266376,19.4675807940176,20.1752631598822,17.4173184407967,18.2112732028978,18.7773735342723,24.8430749518425,24.8321898549488,24.823477381631
